date,cases
2021-01-04,132
2021-01-05,697
2021-01-06,579
2021-01-07,433
2021-01-08,537
2021-01-09,353
2021-01-10,211
2021-01-11,273
2021-01-12,390
2021-01-13,396
2021-01-14,324
2021-01-15,279
2021-01-16,378
2021-01-17,146
2021-01-18,205
2021-01-19,251
2021-01-20,285
2021-01-21,306
2021-01-22,330
2021-01-23,204
2021-01-24,265
2021-01-25,201
2021-01-26,206
2021-01-27,411
2021-01-28,246
2021-01-29,234
2021-01-30,249
2021-01-31,135
2021-02-01,155
2021-02-02,209
2021-02-03,203
2021-02-04,225
2021-02-05,221
2021-02-06,170
2021-02-07,116
2021-02-08,186
2021-02-09,162
2021-02-10,219
2021-02-11,194
2021-02-12,228
2021-02-13,178
2021-02-14,118
2021-02-15,187
2021-02-16,151
2021-02-17,237
2021-02-18,195
2021-02-19,154
2021-02-20,277
2021-02-21,113
2021-02-22,219
2021-02-23,161
2021-02-24,246
2021-02-25,343
2021-02-26,188
2021-02-27,203
2021-02-28,126
2021-03-01,258
2021-03-02,183
2021-03-03,234
2021-03-04,268
2021-03-05,223
2021-03-06,232
2021-03-07,170
2021-03-08,196
2021-03-09,203
2021-03-10,203
2021-03-11,303
2021-03-12,339
2021-03-13,210
2021-03-14,194
2021-03-15,268
2021-03-16,209
2021-03-17,393
2021-03-18,389
2021-03-19,400
2021-03-20,336
2021-03-21,170
2021-03-22,290
2021-03-23,297
2021-03-24,400
2021-03-25,549
2021-03-26,543
2021-03-27,487
2021-03-28,252
2021-03-29,360
2021-03-30,328
2021-03-31,590
2021-04-01,541
2021-04-02,483
2021-04-03,461
2021-04-04,208
2021-04-05,255
2021-04-06,304
2021-04-07,306
2021-04-08,506
2021-04-09,447
2021-04-10,498
2021-04-11,340
2021-04-12,309
2021-04-13,269
2021-04-14,479
2021-04-15,458
2021-04-16,420
2021-04-17,402
2021-04-18,297
2021-04-19,270
2021-04-20,227
2021-04-21,400
2021-04-22,416
2021-04-23,361
2021-04-24,238
2021-04-25,314
2021-04-26,232
2021-04-27,210
2021-04-28,319
2021-04-29,401
2021-04-30,238
2021-05-01,312
2021-05-02,203
2021-05-03,190
2021-05-04,253
2021-05-05,223
2021-05-06,280
2021-05-07,292
2021-05-08,206
2021-05-09,148
2021-05-10,192
2021-05-11,145
2021-05-12,178
2021-05-13,174
2021-05-14,155
2021-05-15,65
2021-05-16,102
2021-05-17,95
2021-05-18,58
2021-05-19,190
